Date,Teams,Favorite/Underdog,Score,Spread Min,Spread Max,Moneyline,Payout,Win Percentage,EV
20160607,Minnesota Lynx,(Favorite), 89  ,-10.5,-10.0,-650.0,0.15384615384615385,0.8545454545454545,-0.01398601398601404
,Phoenix Mercury,(Underdog), 81 ,10.0,10.5,500.0,5.0,0.14545454545454545,-0.1272727272727272

20160607,Los Angeles Sparks,(Favorite), 100  ,-7.5,-7.5,-360.0,0.2777777777777778,0.7454545454545455,-0.04747474747474742
,New York Liberty,(Underdog), 77 ,7.5,7.5,300.0,3.0,0.2545454545454545,0.018181818181818077

20160707,Minnesota Lynx,(Favorite), 89 ,-11.5,-11.0,-750.0,0.13333333333333333,0.9130434782608696,0.03478260869565224
,Connecticut Sun,(Underdog), 93  ,11.0,11.5,600.0,6.0,0.08695652173913043,-0.39130434782608703

20161002,Minnesota Lynx,(Favorite), 82 ,-2.5,-1.5,-125.0,0.8,0.5448394669089808,-0.019288959563834585
,Phoenix Mercury,(Underdog), 67  ,1.5,2.5,125.0,1.25,0.4551605330910193,0.024111199454793453

20161002,Los Angeles Sparks,(Favorite), 66 ,-8.0,-8.0,-360.0,0.2777777777777778,0.8235294117647058,0.05228758169934636
,Chicago Sky,(Underdog), 70  ,8.0,8.0,300.0,3.0,0.17647058823529413,-0.2941176470588235

20161004,Los Angeles Sparks,(Favorite), 95 ,-8.0,-7.0,-300.0,0.3333333333333333,0.7379807692307692,-0.016025641025641135
,Chicago Sky,(Underdog), 75  ,7.0,8.0,300.0,3.0,0.2620192307692308,0.04807692307692313

20161009,Minnesota Lynx,(Favorite), 76  ,-6.5,-6.5,-300.0,0.3333333333333333,0.6571428571428571,-0.12380952380952381
,Los Angeles Sparks,(Underdog), 78 ,6.5,6.5,250.0,2.5,0.34285714285714286,0.20000000000000007

20161011,Minnesota Lynx,(Favorite), 79  ,-7.5,-7.0,-300.0,0.3333333333333333,0.7050480769230769,-0.059935897435897445
,Los Angeles Sparks,(Underdog), 60 ,7.0,7.5,290.0,2.9,0.2949519230769231,0.15031249999999996

20161014,Los Angeles Sparks,(Favorite), 92  ,-1.5,-1.0,-115.0,0.8695652173913043,0.4903225806451613,-0.08330995792426366
,Minnesota Lynx,(Underdog), 75 ,1.0,1.5,115.0,1.15,0.5096774193548387,0.09580645161290313

20161016,Los Angeles Sparks,(Favorite), 79  ,-1.5,0.0,-110.0,0.9090909090909091,0.4979166666666666,-0.049431818181818354
,Minnesota Lynx,(Underdog), 85 ,0.0,1.5,105.0,1.05,0.5020833333333333,0.029270833333333357

20161020,Minnesota Lynx,(Favorite), 76  ,-6.0,-5.5,-250.0,0.4,0.6573052774478194,-0.07977261157305282
,Los Angeles Sparks,(Underdog), 77 ,5.5,6.0,210.0,2.1,0.3426947225521806,0.062353639911759795

20170513,New York Liberty,(Favorite), 73  ,-13.0,-12.5,-900.0,0.1111111111111111,0.9226190476190477,0.025132275132275186
,San Antonio Stars,(Underdog), 64 ,12.5,13.0,650.0,6.5,0.07738095238095238,-0.4196428571428572

20170513,Los Angeles Sparks,(Favorite), 78  ,-8.0,-7.0,-320.0,0.3125,0.7410256410256411,-0.027403846153846112
,Seattle Storm,(Underdog), 68 ,7.0,8.0,300.0,3.0,0.258974358974359,0.03589743589743599

20170513,Connecticut Sun,(Favorite), 74  ,-5.5,-5.0,-220.0,0.45454545454545453,0.6407773952954676,-0.06796015229750163
,Atlanta Dream,(Underdog), 81 ,5.0,5.5,210.0,2.1,0.35922260470453243,0.11359007458405057

20170514,Washington Mystics,(Favorite), 89  ,-17.0,-15.5,-1600.0,0.0625,0.8522727272727273,-0.09446022727272725
,San Antonio Stars,(Underdog), 74 ,15.5,17.0,1100.0,11.0,0.14772727272727273,0.7727272727272727

20170514,Phoenix Mercury,(Favorite), 58  ,-8.5,-8.0,-425.0,0.23529411764705882,0.8184803001876173,0.011063900231762541
,Dallas Wings,(Underdog), 68 ,8.0,8.5,350.0,3.5,0.18151969981238275,-0.18316135084427765

20170514,Seattle Storm,(Favorite), 87  ,-6.0,-5.0,-210.0,0.47619047619047616,0.6499552872792309,-0.040542194968754386
,Indiana Fever,(Underdog), 82 ,5.0,6.0,210.0,2.1,0.3500447127207691,0.08513860943438423

20170514,Minnesota Lynx,(Favorite), 70  ,-16.5,-16.0,-2000.0,0.05,0.75,-0.2125
,Chicago Sky,(Underdog), 61 ,16.0,16.5,1100.0,11.0,0.25,2.0

20170517,Phoenix Mercury,(Favorite), 85  ,-3.0,-3.0,-150.0,0.6666666666666666,0.6119402985074627,0.019900497512437776
,Indiana Fever,(Underdog), 62 ,3.0,3.0,135.0,1.35,0.3880597014925373,-0.08805970149253728

20170518,Minnesota Lynx,(Favorite), 90 ,-5.0,-5.0,-210.0,0.47619047619047616,0.6470588235294118,-0.0448179271708683
,New York Liberty,(Underdog), 71  ,5.0,5.0,215.0,2.15,0.35294117647058826,0.11176470588235299

20170519,Phoenix Mercury,(Favorite), 78 ,-10.0,-9.5,-450.0,0.2222222222222222,0.8741289198606272,0.06837979094076663
,San Antonio Stars,(Underdog), 72  ,9.5,10.0,450.0,4.5,0.12587108013937282,-0.3077090592334496

20170519,Atlanta Dream,(Favorite), 91 ,-2.0,-1.0,-120.0,0.8333333333333334,0.520018115942029,-0.046633454106280225
,Chicago Sky,(Underdog), 83  ,1.0,2.0,105.0,1.05,0.47998188405797104,-0.01603713768115933

20170519,Los Angeles Sparks,(Favorite), 99  ,-5.5,-5.0,-220.0,0.45454545454545453,0.6410575858250277,-0.06755260243632338
,Washington Mystics,(Underdog), 89 ,5.0,5.5,210.0,2.1,0.3589424141749723,0.11272148394241421

20170520,Indiana Fever,(Favorite), 81  ,-7.0,-6.5,-270.0,0.37037037037037035,0.6547128927410617,-0.10280085068817471
,Connecticut Sun,(Underdog), 79 ,6.5,7.0,250.0,2.5,0.34528710725893824,0.20850487540628393

20170520,Minnesota Lynx,(Favorite), 89 ,-10.5,-10.5,-650.0,0.15384615384615385,0.9166666666666666,0.057692307692307654
,Dallas Wings,(Underdog), 87  ,10.5,10.5,475.0,4.75,0.08333333333333333,-0.5208333333333333

20170521,Atlanta Dream,(Favorite), 71  ,-6.5,-6.0,-260.0,0.38461538461538464,0.6644170579029733,-0.08003791982665226
,Chicago Sky,(Underdog), 75 ,6.0,6.5,240.0,2.4,0.3355829420970266,0.1409820031298905

20170521,Seattle Storm,(Favorite), 81  ,-2.0,-2.0,-125.0,0.8,0.575,0.03499999999999992
,Washington Mystics,(Underdog), 71 ,2.0,2.0,115.0,1.15,0.425,-0.08625

20170523,Minnesota Lynx,(Favorite), 80  ,-12.5,-12.5,-1000.0,0.1,0.9285714285714286,0.021428571428571463
,Connecticut Sun,(Underdog), 78 ,12.5,12.5,850.0,8.5,0.07142857142857142,-0.3214285714285715

20170523,New York Liberty,(Favorite), 69 ,-1.0,0.0,-110.0,0.9090909090909091,0.44565217391304346,-0.14920948616600793
,Phoenix Mercury,(Underdog), 67  ,0.0,1.0,-105.0,0.9523809523809523,0.5543478260869565,0.08229813664596275

20170524,Washington Mystics,(Favorite), 82 ,-5.5,-5.0,-210.0,0.47619047619047616,0.6430623973727422,-0.05071741340214253
,Chicago Sky,(Underdog), 67  ,5.0,5.5,200.0,2.0,0.3569376026272578,0.07081280788177347

20170524,Los Angeles Sparks,(Favorite), 90 ,-7.0,-6.5,-270.0,0.37037037037037035,0.6571581196581197,-0.09944998417220641
,Indiana Fever,(Underdog), 93  ,6.5,7.0,250.0,2.5,0.34284188034188035,0.19994658119658115

20170525,Dallas Wings,(Favorite), 94 ,-1.0,-1.0,-115.0,0.8695652173913043,0.40425531914893614,-0.24421831637372804
,San Antonio Stars,(Underdog), 82  ,1.0,1.0,100.0,1.0,0.5957446808510638,0.1914893617021276

20170526,Minnesota Lynx,(Favorite), 82 ,-7.0,-6.0,-300.0,0.3333333333333333,0.6573469148811615,-0.12353744682511802
,Connecticut Sun,(Underdog), 68  ,6.0,7.0,260.0,2.6,0.3426530851188385,0.23355110642781873

20170526,Washington Mystics,(Favorite), 88  ,-8.5,-8.5,-420.0,0.23809523809523808,0.8292682926829268,0.02671312427409983
,Chicago Sky,(Underdog), 79 ,8.5,8.5,360.0,3.6,0.17073170731707318,-0.21463414634146327

20170526,Seattle Storm,(Favorite), 87  ,-5.5,-4.5,-220.0,0.45454545454545453,0.6275452942119609,-0.08720684478260232
,New York Liberty,(Underdog), 81 ,4.5,5.5,210.0,2.1,0.37245470578803913,0.15460958794292134

20170527,Los Angeles Sparks,(Favorite), 73 ,-7.0,-6.5,-280.0,0.35714285714285715,0.655093555093555,-0.110944460944461
,Atlanta Dream,(Underdog), 75  ,6.5,7.0,275.0,2.75,0.34490644490644495,0.2933991683991686

20170527,Phoenix Mercury,(Favorite), 107  ,-7.0,-6.5,-290.0,0.3448275862068966,0.655093555093555,-0.11901211556383975
,Dallas Wings,(Underdog), 65 ,6.5,7.0,265.0,2.65,0.34490644490644495,0.25890852390852404

20170528,Chicago Sky,(Favorite), 79  ,-3.0,-2.0,-130.0,0.7692307692307693,0.5630413411977256,-0.003849934804023847
,Connecticut Sun,(Underdog), 97 ,2.0,3.0,125.0,1.25,0.43695865880227425,-0.016843017694882945

20170528,Seattle Storm,(Favorite), 94  ,-6.0,-6.0,-250.0,0.4,0.6666666666666666,-0.06666666666666671
,Indiana Fever,(Underdog), 70 ,6.0,6.0,220.0,2.2,0.3333333333333333,0.06666666666666665

20170528,Minnesota Lynx,(Favorite), 80  ,-14.5,-14.0,-1400.0,0.07142857142857142,0.9166666666666667,-0.01785714285714278
,San Antonio Stars,(Underdog), 66 ,14.0,14.5,900.0,9.0,0.08333333333333333,-0.16666666666666663

20170530,Los Angeles Sparks,(Favorite), 90 ,-3.0,-2.5,-140.0,0.7142857142857143,0.5518790849673203,-0.0539215686274509
,New York Liberty,(Underdog), 75  ,2.5,3.0,135.0,1.35,0.4481209150326797,0.053084150326797364

