Sample Index,Epsilon,EV Threshold,ROI,Number of Bets
133,0.31,0.034,10.852638058922121,913
134,0.4,0.037,13.927758122273554,537
135,0.43,0.039,15.311241094811102,500
136,0.41,0.002,6.486850944258649,2176
137,0.12,0.004,5.1351263849499,2270
138,0.43,0.03,14.112952466792372,710
139,0.32,0.014,7.356491615945646,1488
140,0.43,0.004,6.878927032740838,2090
141,0.43,0.039,22.264283658944763,496
142,0.3,0.002,6.581712272414259,2233
143,0.15,0.014,2.4066499100563754,1971
144,0.39,0.029,14.715080154635965,737
145,0.43,0.036,22.64766631146936,512
146,0.49,0.037,31.454517711063644,463
147,0.43,0.026,20.051291536938326,771
148,0.45,0.025,13.89751545077387,799
149,0.49,0.036,24.21042508035955,489
150,0.26,0.002,3.33502993836735,2282
151,0.37,0.002,7.365500318133917,2196
152,0.14,0.029,4.959357285814881,1749
153,0.12,0.033,5.209010957812383,1755
154,0.12,0.029,4.546978673693275,1898
155,0.31,0.029,9.894219393541368,930
156,0.28,0.039,9.660795576212978,868
157,0.41,0.004,5.802753977059166,2016
158,0.37,0.039,6.039929714112381,644
159,0.15,0.038,6.330225423616433,1526
160,0.43,0.036,24.718927593726743,555
161,0.49,0.037,26.794555571669314,469
162,0.35,0.039,11.503364388021183,671
163,0.04,0.038,3.168853376356534,2241
164,0.4,0.03,12.359888276165554,678
165,0.4,0.029,11.131197558423732,705
166,0.31,0.037,6.311909183078752,837
167,0.43,0.03,24.323089538204965,643
168,0.43,0.036,25.77274081666323,518
169,0.12,0.002,2.9033677242720315,2308
170,0.4,0.03,16.1929849713701,743
171,0.43,0.029,18.229848126773575,684
172,0.38,0.037,13.77446232279548,564
173,0.4,0.037,20.000783161222373,567
174,0.38,0.002,9.22253094319089,2167
175,0.12,0.014,3.6272758615424014,2075
176,0.38,0.037,8.32232748025319,572
177,0.44,0.037,23.760703340262175,518
178,0.25,0.029,6.426998319488608,1120
179,0.43,0.002,6.885725399290838,2248
180,0.3,0.029,5.342666800179133,947
181,0.25,0.002,3.6740859818968574,2280
182,0.25,0.037,8.554949277305457,992
183,0.4,0.036,9.029090584354359,581
184,0.38,0.026,10.804265705521797,901
185,0.43,0.0,7.816314485001376,2421
186,0.4,0.036,6.405989632309182,541
187,0.34,0.014,6.512939654018754,1509
188,0.4,0.024,10.652063715508381,877
189,0.43,0.03,19.531010605840436,658
190,0.32,0.025,10.821958572389523,1075
191,0.4,0.029,12.767432122181393,736
192,0.3,0.039,10.954145817346998,813
193,0.13,0.002,4.67605431803761,2320
194,0.42,0.036,12.022031201553515,519
195,0.39,0.034,23.274936610944142,603
196,0.4,0.037,17.58960465687443,549
197,0.14,0.038,3.4913238188847506,1573
198,0.34,0.002,4.742595925800976,2172
199,0.35,0.0,3.559019549165158,2391
200,0.38,0.002,3.4298864149610475,2129
201,0.44,0.039,20.53474452950077,515
202,0.43,0.036,18.263436035957685,498
203,0.35,0.0,2.741730963322569,2388
204,0.32,0.0,8.530786116347215,2402
205,0.28,0.002,6.818482809370165,2275
206,0.34,0.029,11.336201581475834,831
207,0.38,0.036,14.449501610401944,622
208,0.46,0.037,20.114387535721953,485
209,0.43,0.036,20.085669316311414,489
210,0.23,0.03,9.801595466530996,1184
211,0.27,0.0,3.3003943781145093,2382
212,0.35,0.0,5.407554902303118,2375
213,0.43,0.036,17.115027906827642,549
214,0.27,0.037,11.918858583106193,950
215,0.29,0.0,4.295061120489268,2380
216,0.39,0.037,10.46863865099978,574
217,0.28,0.002,3.4748108094490937,2203
218,0.12,0.039,2.451639146422294,1665
219,0.4,0.029,13.879962197170768,752
220,0.38,0.037,19.702169409169585,563
221,0.15,0.012,0.8971498041412731,1952
222,0.4,0.036,22.998882889341687,587
223,0.43,0.002,9.354116021276319,2196
224,0.4,0.03,17.288798220578876,698
225,0.43,0.036,15.277337482203466,518
226,0.3,0.036,8.413915563748835,877
227,0.4,0.037,17.4458693867326,520
228,0.38,0.025,9.296015273315222,925
229,0.39,0.034,19.068998281773155,596
230,0.28,0.002,3.5390118903417833,2230
231,0.39,0.032,10.587928553401452,647
232,0.39,0.026,11.248581168686107,820
233,0.38,0.036,10.9668989967664,632
234,0.28,0.002,4.887328744086643,2219
235,0.4,0.029,21.706664626504725,715
236,0.35,0.035,17.684288599396133,680
237,0.4,0.037,31.184737266736846,556
238,0.15,0.039,3.799933217120246,1484
239,0.25,0.001,3.8028722389019984,2326
240,0.4,0.029,20.336849571941986,751
241,0.43,0.003,5.676521619930768,2061
242,0.35,0.002,4.981221891380546,2135
243,0.35,0.036,13.87603379873346,707
244,0.37,0.039,0.2850182318875768,588
245,0.15,0.003,4.140218241935858,2259
246,0.3,0.037,14.6417346679059,833
247,0.39,0.029,15.175726970996104,720
