Sample Index,Epsilon,EV Threshold,ROI,Number of Bets
72,0.3,0.008,10.271088330775227,569
73,0.37,0.025,12.811974537016823,290
74,0.37,0.025,18.538500032614774,290
75,0.37,0.006,7.205257743865329,587
76,0.35,0.021,11.945645548508942,327
77,0.37,0.006,15.518189650526088,568
78,0.37,0.019,12.68460592310351,352
79,0.35,0.021,19.91619556603522,335
80,0.37,0.025,19.52729890014689,280
81,0.37,0.021,24.507440645277324,338
82,0.37,0.021,10.683457042626292,346
83,0.28,0.025,7.02268169504441,340
84,0.26,0.008,6.048367121429602,578
85,0.37,0.023,12.033154953658947,292
86,0.28,0.01,9.87520307448048,547
87,0.37,0.008,7.799373919261249,548
88,0.37,0.008,8.311738119001939,543
89,0.35,0.006,12.299650344282284,595
90,0.12,0.024,6.859393086299903,600
91,0.37,0.008,9.363425352525839,530
92,0.37,0.008,9.199438412444778,543
93,0.14,0.008,13.123583316229709,647
94,0.35,0.008,11.44001616786367,576
95,0.17,0.009,7.551447204403114,602
96,0.37,0.025,24.610657850277313,310
97,0.37,0.018,13.609754289813623,354
98,0.35,0.021,11.81636032922459,334
99,0.37,0.008,8.522459501616499,534
100,0.19,0.01,5.143636807179074,597
101,0.21,0.012,4.513599441340845,539
102,0.37,0.008,6.579067114634126,530
103,0.37,0.009,9.48026655206491,540
104,0.18,0.025,9.117550696680956,476
105,0.37,0.021,6.906509729246429,333
106,0.37,0.008,7.198871837700145,542
107,0.37,0.021,13.109830283382323,330
108,0.18,0.016,8.059857455495703,574
109,0.28,0.018,5.931647592503008,409
110,0.37,0.025,21.070510922672877,288
111,0.37,0.008,13.014133696562796,526
112,0.02,0.004,5.299600780192005,667
113,0.37,0.009,11.972881826647455,542
114,0.02,0.007,8.550051400740276,686
115,0.37,0.006,12.681752134649827,573
116,0.37,0.009,10.437912814274384,496
117,0.18,0.021,4.496031385177704,523
118,0.37,0.025,13.039738900427139,280
119,0.37,0.006,13.082361022818656,569
120,0.37,0.006,14.214891332344795,585
121,0.37,0.008,8.325076009273118,551
122,0.36,0.025,12.289016001642093,291
123,0.35,0.006,12.087657805996612,574
124,0.37,0.006,7.718581491798174,565
