Date,Teams,Favorite/Underdog,Score,Spread Min,Spread Max,Moneyline,Payout,Win Percentage,EV
20091114,Boston College Eagles,(Favorite), 14 ,-4.5,-4.5,-200.0,0.5,0.6535211267605634,-0.019718309859154903
,Virginia Cavaliers,(Underdog), 10 ,4.5,4.5,170.0,1.7,0.3464788732394366,-0.06450704225352122

20091114,Illinois Fighting Illini,(Favorite), 16 ,-6.0,-4.5,-190.0,0.5263157894736842,0.662691325535348,0.011476233711846973
,Northwestern Wildcats,(Underdog), 21 ,4.5,6.0,200.0,2.0,0.337308674464652,0.011926023393956098

20091114,Ohio State Buckeyes,(Favorite), 27 ,-17.0,-16.0,-850.0,0.11764705882352941,0.8848782922058785,-0.011018379299312209
,Iowa Hawkeyes,(Underdog), 24 ,16.0,17.0,625.0,6.25,0.11512170779412158,-0.1653676184926186

20091114,Wisconsin Badgers,(Favorite), 45 ,-8.0,-8.0,-360.0,0.2777777777777778,0.7383863080684596,-0.05650638413474604
,Michigan Wolverines,(Underdog), 24 ,8.0,8.0,280.0,2.8,0.2616136919315403,-0.005867970660146771

20091114,Penn State Nittany Lions,(Favorite), 31 ,-25.0,-24.0,-1400.0,0.07142857142857142,0.9473514360794799,0.015019395799442767
,Indiana Hoosiers,(Underdog), 20 ,24.0,25.0,1000.0,10.0,0.05264856392052003,-0.4208657968742796

20091114,Michigan State Spartans,(Favorite), 40 ,-3.0,-3.0,-150.0,0.6666666666666666,0.5422626788036411,-0.09622886866059821
,Purdue Boilermakers,(Underdog), 37 ,3.0,3.0,130.0,1.3,0.4577373211963589,0.05279583875162552

20091114,Wake Forest Demon Deacons,(Favorite), 28 ,-5.0,-4.5,-185.0,0.5405405405405406,0.6431144507797455,-0.009256116366337996
,Florida State Seminoles,(Underdog), 41 ,4.5,5.0,180.0,1.8,0.3568855492202545,-0.0007204621832873626

20091114,Clemson Tigers,(Favorite), 43 ,-8.5,-8.0,-330.0,0.30303030303030304,0.7310812659223417,-0.04737895652543356
,North Carolina State Wolfpack,(Underdog), 23 ,8.0,8.5,280.0,2.8,0.26891873407765826,0.02189118949510127

20091114,Georgia Tech Yellow Jackets,(Favorite), 49 ,-13.5,-13.5,-550.0,0.18181818181818182,0.8227848101265823,-0.027617951668584523
,Duke Blue Devils,(Underdog), 10 ,13.5,13.5,475.0,4.75,0.17721518987341772,0.018987341772152

20091114,Kentucky Wildcats,(Favorite), 24 ,-3.5,-3.0,-150.0,0.6666666666666666,0.5747307134237298,-0.04211547762711698
,Vanderbilt Commodores,(Underdog), 13 ,3.0,3.5,145.0,1.45,0.4252692865762702,0.041909752111861986

