Sample Index,Epsilon,EV Threshold,ROI,Number of Bets
142,0.27,0.064,24.192894163074957,161
143,0.24,0.065,35.354317282237325,163
144,0.42,0.067,51.417483660130735,136
145,0.33,0.09,42.50719335115245,122
146,0.19,0.084,31.952049048952823,151
147,0.44,0.084,51.62013392350472,89
148,0.15,0.116,12.394543159494702,152
149,0.44,0.079,39.38756938756938,111
150,0.24,0.0,24.189148787407568,223
151,0.31,0.072,41.40087475969966,140
152,0.15,0.0,17.15453071633302,230
153,0.27,0.065,42.45171617554773,160
154,0.33,0.093,49.742751819908165,112
155,0.27,0.076,23.408666368524237,148
156,0.33,0.061,42.07260446108375,151
157,0.44,0.067,36.93735601630339,114
158,0.33,0.072,41.44902120094008,144
159,0.31,0.0,24.52209393894485,226
160,0.32,0.062,30.8399075077194,158
161,0.32,0.067,28.65306507065382,149
162,0.27,0.096,28.806999677575902,116
163,0.33,0.065,22.29528117011854,148
164,0.22,0.086,30.722391085554392,155
165,0.44,0.09,59.59286745001027,98
166,0.33,0.062,21.61736888918171,152
167,0.24,0.086,23.740836144372896,144
168,0.44,0.106,27.254047322540465,73
169,0.31,0.096,51.8585871572973,114
170,0.33,0.09,21.622156860365475,120
171,0.2,0.076,11.813217111567429,170
172,0.44,0.085,50.54479985035544,108
173,0.13,0.025,8.987118632287084,201
174,0.33,0.079,42.38202090145815,128
175,0.31,0.067,22.612342956496047,154
176,0.33,0.083,34.34080350482349,116
177,0.31,0.026,38.16278488514032,198
178,0.33,0.062,31.457966329724158,134
179,0.33,0.064,36.872948499857124,157
180,0.32,0.108,55.29968319168174,115
181,0.32,0.096,44.7203343475793,106
182,0.16,0.072,30.362729068620297,162
183,0.2,0.0,14.137602511494846,224
184,0.33,0.103,31.055346689659107,101
185,0.32,0.096,40.43826476464678,117
186,0.33,0.079,22.71994684198545,133
187,0.2,0.084,29.161522421497686,157
188,0.32,0.079,42.12999408179109,142
189,0.15,0.0,13.6528093780802,227
190,0.16,0.076,16.655420787518587,165
191,0.32,0.085,23.832906313339077,131
192,0.2,0.067,38.52712140642496,168
193,0.31,0.084,19.638117914400937,136
194,0.18,0.067,23.225688174145482,162
195,0.33,0.067,22.560939384022625,145
196,0.33,0.085,25.566497605027745,113
197,0.31,0.073,21.56646783838381,129
198,0.42,0.065,40.49134758437087,129
199,0.33,0.067,19.00488702119136,138
200,0.3,0.09,27.95614620067079,118
